Case ID,Complete Timestamp,Activity,label,event_nr,case_length,Work_Order_Qty,Part_Desc_,Rework,finished,Activity_Final Inspection Q.C.,Activity_Lapping - Machine 1,Activity_Laser Marking - Machine 7,Activity_Packing,Activity_Turning & Milling - Machine 4,Activity_Turning & Milling - Machine 5,Activity_Turning & Milling - Machine 6,Activity_Turning & Milling - Machine 8,Activity_Turning & Milling - Machine 9,Activity_Turning & Milling Q.C.,Activity_other,Resource_ID0420,Resource_ID0937,Resource_ID0997,Resource_ID0998,Resource_ID3767,Resource_ID3846,Resource_ID4132,Resource_ID4163,Resource_ID4167,Resource_ID4219,Resource_ID4287,Resource_ID4326,Resource_ID4355,Resource_ID4385,Resource_ID4429,Resource_ID4445,Resource_ID4491,Resource_ID4493,Resource_ID4528,Resource_ID4529,Resource_ID4618,Resource_ID4641,Resource_ID4718,Resource_ID4794,Resource_ID4820,Resource_ID4872,Resource_ID4882,Resource_ID4932,Resource_other,Report_Type_B,Report_Type_D,Report_Type_S,Resource.1_Machine 1 - Lapping,Resource.1_Machine 10 - Grinding,Resource.1_Machine 11 - Grinding,Resource.1_Machine 12 - Grinding,Resource.1_Machine 14 - Milling,Resource.1_Machine 15 - Turning,Resource.1_Machine 16 - Milling,Resource.1_Machine 2 - Round Grinding,Resource.1_Machine 27 - Grinding,Resource.1_Machine 3 - Round Grinding,Resource.1_Machine 4 - Turning & Milling,Resource.1_Machine 5 - Turning & Milling,Resource.1_Machine 6 - Turning & Milling,Resource.1_Machine 7- Laser Marking,Resource.1_Machine 8 - Turning & Milling,Resource.1_Machine 9 - Turning & Milling,Resource.1_Packing,Resource.1_Quality Check 1,Resource.1_Wire Cut - Machine 13,Resource.1_other,Qty_Completed_mean,Qty_Completed_max,Qty_Completed_min,Qty_Completed_sum,Qty_Completed_std,Qty_for_MRB_mean,Qty_for_MRB_max,Qty_for_MRB_min,Qty_for_MRB_sum,Qty_for_MRB_std,activity_duration_mean,activity_duration_max,activity_duration_min,activity_duration_sum,activity_duration_std,hour_mean,hour_max,hour_min,hour_sum,hour_std,weekday_mean,weekday_max,weekday_min,weekday_sum,weekday_std,month_mean,month_max,month_min,month_sum,month_std,timesincemidnight_mean,timesincemidnight_max,timesincemidnight_min,timesincemidnight_sum,timesincemidnight_std,timesincelastevent_mean,timesincelastevent_max,timesincelastevent_min,timesincelastevent_sum,timesincelastevent_std,timesincecasestart_mean,timesincecasestart_max,timesincecasestart_min,timesincecasestart_sum,timesincecasestart_std,event_nr_mean,event_nr_max,event_nr_min,event_nr_sum,event_nr_std,open_cases_mean,open_cases_max,open_cases_min,open_cases_sum,open_cases_std,predicted_value,proba_of_regular
Case192_8,2012-02-09 08:40:00,Turning & Milling Q.C.,regular,8.0,23,200.0,Piston,Y,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,1,1.0,7.0,0.0,8.0,2.4494897427831783,0.0,0.0,0.0,0.0,0.0,158.625,423.0,3.0,1269.0,155.16529205058345,12.0,20.0,8.0,96.0,4.503966505838413,2.0,3.0,1.0,16.0,0.5345224838248488,1.75,2.0,1.0,14.0,0.4629100498862757,746.25,1217.0,520.0,5970.0,265.981605164181,5210.0,39188.0,0.0,41680.0,13733.814941855844,30386.25,41680.0,0.0,243090.0,18746.058265672815,4.5,8.0,1.0,36.0,2.449489742783178,33.75,36.0,31.0,270.0,1.8322507626258109,regular,0.9741464700679768
Case73_5,2012-02-09 09:09:00,Turning & Milling - Machine 4,deviant,5.0,10,50.0,Fastener,missing,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0.2,1.0,0.0,1.0,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,214.6,552.0,8.0,1073.0,203.26903354913657,11.4,23.0,2.0,57.0,8.203657720797473,2.4,3.0,2.0,12.0,0.5477225575051662,2.0,2.0,2.0,10.0,0.0,711.6,1425.0,166.0,3558.0,498.8790434564274,313.0,570.0,0.0,1565.0,223.75544686107642,863.6,1565.0,0.0,4318.0,600.8796052455101,3.0,5.0,1.0,15.0,1.5811388300841898,35.0,36.0,34.0,175.0,0.7071067811865478,deviant,0.0022702444419186994
Case192_9,2012-02-09 10:13:00,Turning & Milling - Machine 9,regular,9.0,23,200.0,Piston,Y,0,0,0,0,0,0,0,0,0,5,3,1,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,1,1.2222222222222223,7.0,0.0,11.0,2.386303510546059,0.0,0.0,0.0,0.0,0.0,161.11111111111111,423.0,3.0,1450.0,145.33534020021114,11.777777777777779,20.0,8.0,106.0,4.265494630689909,2.111111111111111,3.0,1.0,19.0,0.6009252125773316,1.7777777777777777,2.0,1.0,16.0,0.4409585518440984,731.4444444444445,1217.0,520.0,6583.0,252.73657783901757,4641.444444444444,39188.0,0.0,41773.0,12959.543299351939,31651.444444444445,41773.0,0.0,284863.0,17941.41342753624,5.0,9.0,1.0,45.0,2.7386127875258306,34.0,36.0,31.0,306.0,1.8708286933869738,regular,0.9689124007388267
Case73_6,2012-02-09 10:26:00,Turning & Milling - Machine 4,deviant,6.0,10,50.0,Fastener,missing,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0.16666666666666666,1.0,0.0,1.0,0.408248290463863,0.0,0.0,0.0,0.0,0.0,191.5,552.0,8.0,1149.0,190.41087153836568,11.166666666666666,23.0,2.0,67.0,7.359800721939872,2.5,3.0,2.0,15.0,0.5477225575051662,2.0,2.0,2.0,12.0,0.0,697.3333333333334,1425.0,166.0,4184.0,447.5773303761783,273.6666666666667,570.0,0.0,1642.0,222.11678609836463,993.3333333333334,1642.0,0.0,5960.0,624.3632489718359,3.5,6.0,1.0,21.0,1.8708286933869707,35.166666666666664,36.0,34.0,211.0,0.7527726527090816,deviant,0.0011765488577679427
Case178_19,2012-02-09 10:49:00,other,regular,19.0,23,250.0,Cable Head,missing,0,0,2,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,1,0,0,2,0,0,0,0,0,0,9,1,0,0,0,18,1,2,0,0,0,0,0,0,5,10,1,0,0,0,0,0,0,0,0,0,1,3.8421052631578947,31.0,0.0,73.0,9.322989255328505,0.0,0.0,0.0,0.0,0.0,233.6315789473684,550.0,9.0,4439.0,161.47452861616557,13.473684210526315,23.0,4.0,256.0,5.480961199690673,2.1578947368421053,6.0,0.0,41.0,2.363217154989661,1.0526315789473684,2.0,1.0,20.0,0.22941573387056177,840.1052631578947,1427.0,290.0,15962.0,325.37344266701064,2898.8947368421054,14599.0,0.0,55079.0,4295.747650548503,24348.0,55079.0,0.0,462612.0,12971.80417932165,10.0,19.0,1.0,190.0,5.627314338711377,29.0,36.0,1.0,551.0,9.614803401237305,regular,0.998886468847721
Case58,2012-02-09 11:16:00,other,regular,1.0,7,28.0,Adjusting Nut,missing,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,27.0,27.0,0.0,11.0,11.0,11.0,11.0,0.0,3.0,3.0,3.0,3.0,0.0,2.0,2.0,2.0,2.0,0.0,676.0,676.0,676.0,676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,37.0,37.0,37.0,37.0,0.0,deviant,0.3123770437872837
Case73_7,2012-02-09 11:55:00,Turning & Milling Q.C.,deviant,7.0,10,50.0,Fastener,missing,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0.14285714285714285,1.0,0.0,1.0,0.37796447300922725,0.0,0.0,0.0,0.0,0.0,173.0,552.0,8.0,1211.0,180.58054527920035,11.142857142857142,23.0,2.0,78.0,6.718843437888483,2.5714285714285716,3.0,2.0,18.0,0.5345224838248488,2.0,2.0,2.0,14.0,0.0,699.8571428571429,1425.0,166.0,4899.0,408.63489350577515,247.28571428571428,570.0,0.0,1731.0,214.44091205249237,1098.7142857142858,1731.0,0.0,7691.0,634.5028800264856,4.0,7.0,1.0,28.0,2.160246899469287,35.42857142857143,37.0,34.0,248.0,0.9759000729485346,deviant,0.004415253904187028
Case273_13,2012-02-09 11:59:00,Final Inspection Q.C.,regular,13.0,15,12.0,Spur Gear,missing,0,1,1,1,1,0,0,0,0,3,1,5,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,2,0,0,0,0,10,3,1,0,1,3,0,0,0,0,1,0,0,0,0,1,0,3,1,2,0,0,6.461538461538462,12.0,0.0,84.0,5.4408238441034005,0.0,0.0,0.0,0.0,0.0,196.3846153846154,903.0,8.0,2553.0,243.07150472701736,12.923076923076923,23.0,1.0,168.0,6.116392434291346,1.6923076923076923,3.0,0.0,22.0,1.1094003924504583,1.6153846153846154,2.0,1.0,21.0,0.5063696835418332,799.9230769230769,1426.0,60.0,10399.0,372.3359731788978,2426.4615384615386,19978.0,0.0,31544.0,5515.950803735541,18886.46153846154,31544.0,0.0,245524.0,14143.195599624252,7.0,13.0,1.0,91.0,3.8944404818493075,34.84615384615385,37.0,33.0,453.0,1.2142318453899064,regular,0.7539879122846403
Case273_14,2012-02-09 13:32:00,Final Inspection Q.C.,regular,14.0,15,12.0,Spur Gear,missing,0,2,1,1,1,0,0,0,0,3,1,5,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,2,0,0,0,0,11,3,1,0,1,3,0,0,0,0,1,0,0,0,0,1,0,3,1,3,0,0,6.857142857142857,12.0,0.0,96.0,5.432907464377018,0.0,0.0,0.0,0.0,0.0,182.42857142857142,903.0,1.0,2554.0,239.30242027954577,12.928571428571429,23.0,1.0,181.0,5.876475732355834,1.7857142857142858,3.0,0.0,25.0,1.1217137594956024,1.6428571428571428,2.0,1.0,23.0,0.49724515809884684,800.7857142857143,1426.0,60.0,11211.0,357.74339290172105,2259.785714285714,19978.0,0.0,31637.0,5336.122694624619,19797.214285714286,31637.0,0.0,277161.0,14009.127311416389,7.5,14.0,1.0,105.0,4.183300132670378,35.0,37.0,33.0,490.0,1.300887271175982,regular,0.8343830916079176
Case58_2,2012-02-09 13:37:00,other,regular,2.0,7,28.0,Adjusting Nut,missing,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,69.0,27.0,96.0,29.698484809834994,12.0,13.0,11.0,24.0,1.4142135623730951,3.0,3.0,3.0,6.0,0.0,2.0,2.0,2.0,4.0,0.0,746.5,817.0,676.0,1493.0,99.7020561473032,70.5,141.0,0.0,141.0,99.7020561473032,70.5,141.0,0.0,141.0,99.7020561473032,1.5,2.0,1.0,3.0,0.7071067811865476,37.0,37.0,37.0,74.0,0.0,deviant,0.3724174483374899
Case242_5,2012-02-09 15:41:00,Turning & Milling - Machine 6,deviant,5.0,5,40.0,Spur Gear,missing,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5.4,17.0,1.0,27.0,6.58027355054484,0.0,0.0,0.0,0.0,0.0,238.2,439.0,49.0,1191.0,173.99051698296662,13.2,20.0,2.0,66.0,6.685805860178712,2.4,3.0,2.0,12.0,0.5477225575051662,2.0,2.0,2.0,10.0,0.0,825.6,1212.0,166.0,4128.0,391.88174236623985,304.4,775.0,0.0,1522.0,303.9281165012543,542.6,1522.0,0.0,2713.0,619.5379730089189,3.0,5.0,1.0,15.0,1.5811388300841898,35.2,36.0,35.0,176.0,0.44721359549995715,deviant,0.4464327465528142
Case192_10,2012-02-09 15:56:00,Turning & Milling - Machine 9,regular,10.0,23,200.0,Piston,Y,0,0,0,0,0,0,0,0,0,6,3,1,0,0,0,0,0,1,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,1,1.7,7.0,0.0,17.0,2.7100635498903793,0.0,0.0,0.0,0.0,0.0,179.0,423.0,3.0,1790.0,148.24154463427436,12.1,20.0,8.0,121.0,4.1486276177925525,2.2,3.0,1.0,22.0,0.6324555320336759,1.8,2.0,1.0,18.0,0.4216370213557839,753.9,1217.0,520.0,7539.0,248.63826915599478,4211.6,39188.0,0.0,42116.0,12293.752082528208,32697.9,42116.0,0.0,326979.0,17235.97902612117,5.5,10.0,1.0,55.0,3.0276503540974917,34.2,36.0,31.0,342.0,1.8737959096740295,regular,0.9795559217741235
Case73_8,2012-02-09 16:05:00,Turning & Milling - Machine 4,deviant,8.0,10,50.0,Fastener,missing,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,2,6,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,2.875,22.0,0.0,23.0,7.735585673643962,0.0,0.0,0.0,0.0,0.0,193.625,552.0,8.0,1549.0,177.07055696206848,11.75,23.0,2.0,94.0,6.45312770235156,2.625,3.0,2.0,21.0,0.5175491695067657,2.0,2.0,2.0,16.0,0.0,733.0,1425.0,166.0,5864.0,389.7632981328906,247.625,570.0,0.0,1981.0,198.5360258779967,1209.0,1981.0,0.0,9672.0,665.1195381282977,4.5,8.0,1.0,36.0,2.449489742783178,35.5,37.0,34.0,284.0,0.9258200997725533,deviant,0.005358365566744757
Case55,2012-02-09 17:48:00,other,deviant,1.0,17,70.0,Bearing,missing,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,201.0,201.0,201.0,0.0,17.0,17.0,17.0,17.0,0.0,3.0,3.0,3.0,3.0,0.0,2.0,2.0,2.0,2.0,0.0,1068.0,1068.0,1068.0,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,37.0,37.0,37.0,37.0,0.0,deviant,0.11041438226985918
